#options: 1916x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:76 out:75 type:P dur:2 cpbdur:2 q:41.84 aq:38.91 tex:62191 mv:43812 misc:5181 imb:3682 pmb:2068 smb:2410 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:41.87 aq:40.50 tex:24728 mv:34411 misc:5901 imb:1461 pmb:1846 smb:4853 d:s ref:0 ;
in:78 out:77 type:P dur:2 cpbdur:2 q:42.31 aq:39.59 tex:47757 mv:38522 misc:5761 imb:3276 pmb:1767 smb:3117 d:s ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:42.31 aq:41.48 tex:23796 mv:33310 misc:6078 imb:1319 pmb:1994 smb:4847 d:s ref:0 ;
in:80 out:79 type:P dur:2 cpbdur:2 q:41.82 aq:39.20 tex:57999 mv:41556 misc:5525 imb:3569 pmb:1911 smb:2680 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:42.31 aq:41.04 tex:22816 mv:31941 misc:5755 imb:1366 pmb:1815 smb:4979 d:s ref:0 ;
in:82 out:81 type:P dur:2 cpbdur:2 q:41.80 aq:39.45 tex:51612 mv:39140 misc:5680 imb:3429 pmb:1757 smb:2974 d:s ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:41.82 aq:41.02 tex:24393 mv:32327 misc:5544 imb:1321 pmb:1860 smb:4979 d:s ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:41.81 aq:39.95 tex:52961 mv:38501 misc:5178 imb:3660 pmb:1534 smb:2966 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:41.81 aq:40.78 tex:24298 mv:33777 misc:6181 imb:1446 pmb:1959 smb:4755 d:s ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:42.29 aq:41.28 tex:34189 mv:29311 misc:5524 imb:2742 pmb:1197 smb:4221 d:s ref:0 ;
in:86 out:86 type:I dur:2 cpbdur:2 q:39.23 aq:36.53 tex:206498 mv:83648 misc:294 imb:8160 pmb:0 smb:0 d:s ref:;
in:88 out:87 type:P dur:2 cpbdur:2 q:42.42 aq:38.81 tex:96197 mv:53107 misc:3416 imb:4971 pmb:2250 smb:939 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:42.42 aq:41.00 tex:24280 mv:30264 misc:7064 imb:865 pmb:2473 smb:4822 d:s ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:42.59 aq:39.08 tex:48239 mv:36262 misc:6667 imb:2315 pmb:2333 smb:3512 d:s ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:42.74 aq:39.19 tex:40145 mv:33557 misc:7282 imb:2047 pmb:2203 smb:3910 d:s ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:42.77 aq:38.86 tex:53483 mv:39177 misc:7140 imb:2507 pmb:2450 smb:3203 d:s ref:0 ;
in:93 out:92 type:P dur:2 cpbdur:2 q:43.22 aq:39.37 tex:83932 mv:49008 misc:5684 imb:3381 pmb:2712 smb:2067 d:s ref:0 ;
